,regulated_dam,height,length,volume,surface,drainage,inspection_frequency,distance_to_nearest_city,hazard,probability_of_failure,age,modification_count,years_from_modification,years_from_inspection,years_from_assessment,region_Flumevale,region_Lyndrassia,region_Navaldia,primary_purpose_Debris Control,"primary_purpose_Fire Protection, Stock, Or Small Fish Pond",primary_purpose_Fish and Wildlife Pond,primary_purpose_Flood Risk Reduction,primary_purpose_Grade Stabilization,primary_purpose_Hydroelectric,primary_purpose_Irrigation,primary_purpose_Navigation,primary_purpose_No Rocord,primary_purpose_Other,primary_purpose_Recreation,primary_purpose_Tailings,primary_purpose_Water Supply,primary_type_Arch,primary_type_Buttress,primary_type_Concrete,primary_type_Earth,primary_type_Gravity,primary_type_Masonry,primary_type_Multi-Arch,primary_type_Other,primary_type_Rockfill,primary_type_Roller-Compacted Concrete,primary_type_Stone,primary_type_Timber Crib,spillway_Controlled,spillway_No Rocord,spillway_Uncontrolled,assessment_Fair,assessment_Not Available,assessment_Not Rated,assessment_Poor,assessment_Satisfactory,assessment_Unsatisfactory
9717,0.3333333333333333,0.34346907273646804,0.34224571185847785,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.02132987910189983,0.3333333333333333,0.076,0.21454545454545457,0.0,0.20727272727272728,0.20754716981132074,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13077,0.3333333333333333,0.4050022971810619,0.45565157195661754,0.5430168004842498,0.292265387250624,0.23883645172405887,0.0833333333333333,0.03398100172711572,0.3333333333333333,0.0586,0.21454545454545457,0.3333333333333333,0.02909090909090909,0.04716981132075472,0.03260869565217391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19035,0.3333333333333333,0.4324893287586012,0.6035500789148942,0.5254015417112317,0.4953461969735153,0.3130820519824966,0.0833333333333333,0.07689982728842831,0.3333333333333333,0.0341,0.48363636363636364,0.16666666666666666,0.3563636363636364,0.0660377358490566,0.014492753623188406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2655,0.3333333333333333,0.46025424381900637,0.4719021476772172,0.5555413902410116,0.29942633459762824,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.0742,0.2109090909090909,0.0,0.2109090909090909,0.3113207547169811,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17008,0.6666666666666666,0.5544926040745481,0.5338783841932266,0.5555413902410116,0.42306865917442044,0.14438403363796587,0.16666666666666666,0.0,0.6666666666666666,0.0893,0.13818181818181818,0.0,0.13818181818181818,0.04716981132075472,0.06159420289855072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1722,0.3333333333333333,0.509765976199799,0.41307122616912545,0.5063692310555662,0.2830700335326898,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.0983,0.15272727272727274,0.0,0.15272727272727274,0.23584905660377356,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20712,0.6666666666666666,0.7091690674746484,0.7127827813579583,0.5555413902410116,0.775483346435315,0.5950205570750535,0.1,0.03419689119170984,0.6666666666666666,0.1037,0.22181818181818183,0.16666666666666666,0.10545454545454545,0.07075471698113207,0.010869565217391304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11919,0.3333333333333333,0.4542783348020573,0.46703736467814877,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.0902,0.2290909090909091,0.0,0.2290909090909091,0.33490566037735847,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10193,0.3333333333333333,0.34013517979270014,0.5716213719615518,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.1086,0.2690909090909091,0.0,0.2690909090909091,0.2830188679245283,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10981,0.3333333333333333,0.48326916844393797,0.40878362658280576,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.4902849740932642,0.3333333333333333,0.0998,0.26545454545454544,0.0,0.26545454545454544,0.3820754716981132,0.2681159420289855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
