,id,region,regulated_dam,primary_purpose,primary_type,height,length,volume,surface,drainage,spillway,inspection_frequency,distance_to_nearest_city,hazard,assessment,probability_of_failure,dam_repair_loss,damage_loss,business_interruption_loss,age,modification_count,years_from_modification,years_from_inspection,years_from_assessment
0,SOAD00072,Navaldia,Yes,Recreation,Earth,,,,0.02364,2.66329,,0.5,,Significant,Satisfactory,0.1258,20.8,296.9,8.1,,0,,10.0,
1,SOAD00380,Navaldia,No,,Earth,2.713,,,,,,0.2,,High,Not Available,0.0757,930.5,727.5,,98.0,0,98.0,7.0,98.0
2,SOAD00610,Navaldia,Yes,Recreation,Earth,,,,,,,0.5,,Significant,Satisfactory,0.1375,355.5,427.3,8.6,,0,,,
3,SOAD00862,Navaldia,Yes,,,,,,,,,0.5,,Significant,Not Rated,0.1403,295.1,25.3,,,0,,,
4,SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,,0.04728,,Uncontrolled,0.3333333333333333,16.43,High,Not Rated,0.0998,11.5,203.0,5.6,44.0,0,44.0,4.0,44.0
5,SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,,0.06107,,Uncontrolled,0.0,,High,Unsatisfactory,0.1283,11.5,733.7,8.2,27.0,0,27.0,27.0,27.0
6,SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,,0.04137,,Uncontrolled,0.0,0.0,High,Unsatisfactory,0.1394,7.3,248.5,9.5,,0,,,
7,SOAD02636,Flumevale,No,Water Supply,Concrete,2.018,0.017,,,,Controlled,0.0,8.16,Significant,Not Rated,0.1547,416.3,441.8,52.6,57.0,1,57.0,12.0,57.0
8,SOAD02906,Flumevale,Yes,,Earth,,0.082,15650.0,0.01773,,,1.0,0.0,High,Not Available,0.1355,30.6,651.4,,78.0,0,78.0,5.0,78.0
9,SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,,19.1484,,Uncontrolled,0.0,7.06,High,,0.0853,814.7,277.8,53.4,,0,,,
10,SOAD03835,Flumevale,No,Recreation,Concrete,18.142,0.224,,,,Uncontrolled,1.0,5.0,High,Not Rated,0.0891,486.8,794.9,8.9,117.0,1,15.0,5.0,117.0
11,SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,,,2.66329,,0.5,,Significant,Fair,0.1198,463.4,228.2,5.1,,0,,8.0,
12,SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,,,,,,,1.0,,High,Not Rated,0.1131,874.0,743.5,,,0,,4.0,
13,SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,,,0.00788,2.66329,,0.5,,Significant,Fair,0.1556,13.9,25.1,2.9,,0,,7.0,
14,SOAD05688,Navaldia,Yes,Irrigation,Earth,,,,,2.66329,,0.5,,Significant,Satisfactory,0.1126,106.2,189.6,47.1,,0,,4.0,
15,SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,,,Uncontrolled,0.2,83.19,Significant,Not Rated,0.1355,107.0,74.2,6.1,75.0,0,75.0,10.0,75.0
16,SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,,,,Uncontrolled,0.2,,High,Not Available,0.0598,622.1,806.0,,46.0,0,46.0,4.0,46.0
