Year,Flumevale,Lyndrassia,Navaldia,Tarrodan
2019,45363514,7067855,39808697,92240066
2020,45502051,7097789,40175188,92775028
2021,45651175,7131024,40565887,93348086
2022,45599000,7157446,40953108,93709554
2023,45311937,7239138,42148205,94699280
2024,45161092,7267582,42526941,95150152
2025,45145328,7324559,43313896,95925972
2026,45259214,7353108,43693348,96378123
2027,45404777,7409970,44479504,97152512
2028,45473424,7438623,44859669,97605929
2029,45425345,7495372,45645031,98378899
2030,45309594,7524128,46025906,98833571
2031,45217795,7580764,46810475,99605133
2032,45212979,7609622,47192058,100061050
2033,45287814,7666146,47975837,100831215
