"","X","id","region","regulated_dam","primary_purpose","primary_type","height","length","volume","surface","drainage","spillway","inspection_frequency","distance_to_nearest_city","hazard","assessment","probability_of_failure","dam_repair_loss","damage_loss","business_interruption_loss","age","modification_count","years_from_modification","years_from_inspection","years_from_assessment","one_year_prob"
"1",0,"SOAD00072","Navaldia","Yes","Recreation","Earth",NA,NA,NA,0.02364,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1258,20.8,296.9,8.1,NA,0,NA,10,NA,0.0143212169855474
"2",1,"SOAD00380","Navaldia","No","","Earth",2.713,NA,NA,NA,NA,"",0.2,NA,"High","Not Available",0.0757,930.5,727.5,NA,98,0,98,7,98,0.00813113664641335
"3",2,"SOAD00610","Navaldia","Yes","Recreation","Earth",NA,NA,NA,NA,NA,"",0.5,NA,"Significant","Satisfactory",0.1375,355.5,427.3,8.6,NA,0,NA,NA,NA,0.0158845091285811
"4",3,"SOAD00862","Navaldia","Yes","","",NA,NA,NA,NA,NA,"",0.5,NA,"Significant","Not Rated",0.1403,295.1,25.3,NA,NA,0,NA,NA,NA,0.0162648416219875
"5",4,"SOAD02091","Lyndrassia","Yes","Recreation","Earth",13.921,0.2,NA,0.04728,NA,"Uncontrolled",0.333333333333333,16.43,"High","Not Rated",0.0998,11.5,203,5.6,44,0,44,4,44,0.0110266769778203
"6",5,"SOAD02227","Lyndrassia","Yes","Recreation","Earth",14.332,0.127,NA,0.06107,NA,"Uncontrolled",0,NA,"High","Unsatisfactory",0.1283,11.5,733.7,8.2,27,0,27,27,27,0.0146541313000335
"7",6,"SOAD02335","Lyndrassia","Yes","Recreation","Earth",12.526,0.17,NA,0.04137,NA,"Uncontrolled",0,0,"High","Unsatisfactory",0.1394,7.3,248.5,9.5,NA,0,NA,NA,NA,0.0161423022373199
"8",7,"SOAD02636","Flumevale","No","Water Supply","Concrete",2.018,0.017,NA,NA,NA,"Controlled",0,8.16,"Significant","Not Rated",0.1547,416.3,441.8,52.6,57,1,57,12,57,0.0182488503606182
"9",8,"SOAD02906","Flumevale","Yes","","Earth",NA,0.082,15650,0.01773,NA,"",1,0,"High","Not Available",0.1355,30.6,651.4,NA,78,0,78,5,78,0.0156144867813237
"10",9,"SOAD03530","Lyndrassia","Yes","Water Supply","Earth",26.547,0.933,NA,19.1484,NA,"Uncontrolled",0,7.06,"High","",0.0853,814.7,277.8,53.4,NA,0,NA,NA,NA,0.00926881936480435
"11",10,"SOAD03835","Flumevale","No","Recreation","Concrete",18.142,0.224,NA,NA,NA,"Uncontrolled",1,5,"High","Not Rated",0.0891,486.8,794.9,8.9,117,1,15,5,117,0.00972478465483404
"12",11,"SOAD04339","Navaldia","Yes","Recreation","Earth",8.084,0.14,NA,NA,2.66329,"",0.5,NA,"Significant","Fair",0.1198,463.4,228.2,5.1,NA,0,NA,8,NA,0.0135574952850194
"13",12,"SOAD04980","Navaldia","Yes","Flood Risk Reduction","Earth",NA,NA,NA,NA,NA,"",1,NA,"High","Not Rated",0.1131,874,743.5,NA,NA,0,NA,4,NA,0.0126901945130147
"14",13,"SOAD05158","Navaldia","Yes","Recreation","Earth",4.848,NA,NA,0.00788,2.66329,"",0.5,NA,"Significant","Fair",0.1556,13.9,25.1,2.9,NA,0,NA,7,NA,0.0183790074381814
"15",14,"SOAD05688","Navaldia","Yes","Irrigation","Earth",NA,NA,NA,NA,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1126,106.2,189.6,47.1,NA,0,NA,4,NA,0.012628781290075
"16",15,"SOAD05705","Flumevale","No","Recreation","Earth",8.746,0.1,15000,NA,NA,"Uncontrolled",0.2,83.19,"Significant","Not Rated",0.1355,107,74.2,6.1,75,0,75,10,75,0.0156144867813237
"17",16,"SOAD06129","Navaldia","No","Flood Risk Reduction","Rockfill",10,3.913,NA,NA,NA,"Uncontrolled",0.2,NA,"High","Not Available",0.0598,622.1,806,NA,46,0,46,4,46,0.00632227349450886
"18",17,"SOAD06421","Lyndrassia","Yes","Recreation","Earth",18.441,0.15,NA,0.0453099999999999,322.25809,"",0.333333333333333,8.09,"High","Not Rated",0.0837,27.3,278.2,8.1,24,0,24,24,24,0.00907779008022989
"19",18,"SOAD07112","Flumevale","No","Irrigation","Earth",7.961,0.262,9180,NA,NA,"Controlled",0.2,NA,"Significant","Not Rated",0.1108,219.6,160.6,38.9,107,0,107,10,107,0.0124125326436389
"20",19,"SOAD07546","Lyndrassia","Yes","","",16.22,0.283,NA,NA,NA,"",0.333333333333333,NA,"High","",0.0736,615.9,700.1,NA,NA,0,NA,NA,NA,0.00789016927262339
"21",20,"SOAD07646","Flumevale","No","Other","Rockfill",4.43,0.023,NA,NA,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1495,301.1,118.8,NA,126,0,126,5,126,0.0175556213448466
