iter	Passed	Remaining
0	2	1180
1	3	975
2	71	11766
3	144	17953
4	163	16174
5	197	16278
6	262	18513
7	264	16267
8	328	17901
9	400	19622
10	469	20862
11	475	19346
12	485	18186
13	491	17060
14	495	16007
15	497	15050
16	500	14227
17	570	15271
18	638	16163
19	710	17060
20	777	17723
21	843	18334
22	908	18836
23	979	19420
24	1047	19908
25	1114	20324
26	1130	19801
27	1133	19106
28	1138	18488
29	1206	18902
30	1211	18321
31	1213	17741
32	1217	17230
33	1287	17652
34	1361	18091
35	1364	17588
36	1437	17990
37	1442	17542
38	1476	17458
39	1544	17767
40	1566	17541
41	1630	17777
42	1672	17777
43	1675	17362
44	1739	17584
45	1805	17822
46	1841	17752
47	1908	17975
48	1911	17594
49	1975	17778
50	2051	18057
51	2119	18262
52	2190	18476
53	2256	18640
54	2258	18274
55	2260	17922
56	2325	18070
57	2392	18233
58	2456	18362
59	2519	18478
60	2529	18201
61	2593	18323
62	2610	18106
63	2679	18257
64	2746	18380
65	2809	18477
66	2812	18175
67	2830	17985
68	2898	18103
69	2933	18017
70	3002	18142
71	3071	18258
72	3141	18373
73	3211	18490
74	3280	18591
75	3345	18666
76	3385	18595
77	3390	18344
78	3454	18407
79	3519	18478
80	3588	18563
81	3652	18616
82	3653	18356
83	3719	18418
84	3786	18485
85	3852	18546
86	3918	18600
87	3987	18670
88	4054	18722
89	4120	18769
90	4130	18562
91	4197	18616
92	4206	18408
93	4208	18178
94	4275	18227
95	4278	18007
96	4281	17789
97	4346	17829
98	4348	17613
99	4415	17662
100	4482	17706
101	4552	17764
102	4569	17614
103	4637	17657
104	4641	17462
105	4651	17287
106	4652	17089
107	4653	16891
108	4718	16926
109	4729	16767
110	4795	16805
111	4863	16849
112	4929	16883
113	4933	16704
114	4934	16521
115	5002	16560
116	5069	16596
117	5138	16633
118	5203	16659
119	5236	16582
120	5238	16407
121	5247	16257
122	5313	16286
123	5378	16310
124	5396	16189
125	5405	16044
126	5469	16064
127	5471	15902
128	5480	15761
129	5547	15790
130	5550	15634
131	5551	15477
132	5552	15322
133	5620	15351
134	5685	15370
135	5752	15396
136	5761	15266
137	5831	15296
138	5833	15149
139	5898	15167
140	5900	15024
141	5970	15051
142	6040	15079
143	6105	15093
144	6174	15116
145	6241	15132
146	6274	15067
147	6276	14927
148	6346	14949
149	6347	14811
150	6415	14828
151	6481	14839
152	6550	14857
153	6617	14867
154	6682	14874
155	6747	14879
156	6782	14817
157	6783	14683
158	6785	14552
159	6851	14559
160	6915	14562
161	6983	14571
162	7049	14575
163	7115	14577
164	7117	14450
165	7186	14458
166	7187	14331
167	7255	14339
168	7326	14349
169	7327	14223
170	7390	14219
171	7457	14221
172	7522	14218
173	7590	14220
174	7656	14219
175	7721	14215
176	7724	14096
177	7788	14090
178	7856	14088
179	7862	13977
180	7929	13975
181	7994	13968
182	8011	13877
183	8013	13762
184	8075	13750
185	8144	13749
186	8212	13745
187	8277	13736
188	8345	13731
189	8425	13747
190	8503	13756
191	8514	13659
192	8519	13552
193	8592	13552
194	8659	13544
195	8724	13532
196	8743	13448
197	8809	13436
198	8819	13340
199	8883	13325
200	8947	13310
201	9013	13297
202	9081	13286
203	9168	13302
204	9241	13298
205	9311	13289
206	9374	13268
207	9445	13260
208	9516	13249
209	9582	13232
210	9649	13216
211	9715	13198
212	9782	13181
213	9787	13080
214	9852	13059
215	9853	12955
216	9919	12935
217	9985	12916
218	10051	12896
219	10118	12877
220	10188	12862
221	10223	12801
222	10288	12779
223	10353	12757
224	10354	12655
225	10419	12632
226	10486	12611
227	10552	12588
228	10616	12563
229	10680	12537
230	10752	12521
231	10815	12493
232	10883	12471
233	10948	12446
234	11014	12420
235	11078	12393
236	11080	12295
237	11115	12236
238	11180	12209
239	11251	12189
240	11316	12161
241	11378	12130
242	11380	12036
243	11445	12008
244	11507	11976
245	11574	11950
246	11637	11920
247	11703	11891
248	11708	11802
249	11775	11775
250	11848	11754
251	11915	11726
252	11984	11700
253	12052	11673
254	12119	11644
255	12186	11615
256	12250	11583
257	12315	11551
258	12317	11461
259	12318	11370
260	12386	11342
261	12462	11321
262	12464	11231
263	12530	11201
264	12601	11175
265	12651	11129
266	12725	11104
267	12799	11080
268	12869	11051
269	12937	11021
270	13010	10994
271	13077	10961
272	13143	10928
273	13208	10894
274	13213	10810
275	13222	10731
276	13291	10700
277	13361	10669
278	13428	10636
279	13493	10601
280	13561	10569
281	13629	10536
282	13697	10503
283	13699	10418
284	13765	10384
285	13829	10347
