iter	Passed	Remaining
0	18	72855
1	141	283440
2	209	278876
3	223	223753
4	234	187697
5	274	183016
6	289	165015
7	471	235357
8	486	215673
9	511	204243
10	537	194866
11	556	184796
12	595	182632
13	620	176786
14	640	170042
15	653	162646
16	693	162471
17	876	194010
18	1003	210278
19	1044	207875
20	1058	200604
21	1098	198601
22	1116	193130
23	1300	215415
24	1327	211076
25	1354	206980
26	1373	202143
27	1391	197345
28	1430	195890
29	1442	190897
30	1509	193258
31	1528	189541
32	1555	186938
33	1566	182721
34	1592	180394
35	1606	176875
36	1624	173960
37	1641	171167
38	1708	173520
39	1721	170382
40	1760	169978
41	1785	168282
42	1812	166808
43	1880	169079
44	1949	171312
45	1968	169176
46	1987	167126
47	2000	164686
48	2011	162212
49	2132	168501
50	2173	168285
51	2199	166963
52	2267	168874
53	2392	174802
54	2461	176536
55	2503	176296
56	2687	185907
57	2813	191234
58	2840	189720
59	2961	194462
60	3144	203059
61	3159	200678
62	3185	199044
63	3367	207089
64	3381	204740
65	3399	202659
66	3467	203553
67	3482	201358
68	3606	205483
69	3632	203933
70	3650	202007
71	3676	200592
72	3702	199185
73	3769	199975
74	3809	199359
75	3827	197629
76	3839	195629
77	3864	194338
78	3932	195182
79	3959	194031
80	4141	200395
81	4182	199855
82	4366	206082
83	4434	206742
84	4474	206090
85	4489	204308
86	4514	203046
87	4582	203715
88	4649	204325
89	4676	203161
90	4745	203829
91	4763	202331
92	4945	207784
93	5129	213139
94	5147	211605
95	5188	210998
96	5202	209335
97	5325	212022
98	5350	210847
99	5369	209409
100	5437	209898
101	5559	212452
102	5574	210906
103	5600	209795
104	5619	208439
105	5636	207065
106	5650	205576
107	5716	206014
108	5838	208428
109	6021	212959
110	6047	211886
111	6073	210851
112	6141	211270
113	6327	215681
114	6342	214257
115	6525	218493
116	6540	217054
117	6579	216468
118	6703	218637
119	6730	217609
120	6756	216613
121	6938	220547
122	6953	219169
123	7136	223067
124	7323	227016
125	7363	226409
126	7382	225133
127	7407	224077
128	7421	222717
129	7435	221361
130	7446	219940
131	7514	220190
132	7555	219672
133	7570	218409
134	7588	217268
135	7771	220810
136	7786	219561
137	7804	218416
138	7844	217884
139	7858	216660
140	8042	220106
141	8069	219231
142	8108	218710
143	8135	217838
144	8316	221106
145	8341	220204
146	8525	223470
147	8544	222386
148	8668	224039
149	8694	223147
150	8876	226256
151	8888	225024
152	8914	224133
153	8932	223086
154	8951	222055
155	8977	221224
156	9018	220750
157	9037	219754
158	9062	218931
159	9075	217802
160	9086	216670
161	9270	219623
162	9296	218834
163	9337	218401
164	9351	217359
165	9377	216574
166	9559	219407
167	9683	220873
168	9751	221046
169	9819	221223
170	9837	220284
171	10020	223025
172	10203	225706
173	10275	225940
174	10458	228592
175	10486	227833
176	10608	229123
177	10618	228002
178	10658	227514
179	10725	227622
180	10765	227146
181	10889	228438
182	10904	227448
183	10931	226714
184	10999	226834
185	11182	229295
186	11306	230541
187	11348	230104
188	11360	229082
189	11381	228221
190	11393	227205
191	11435	226794
192	11454	225953
193	11639	228345
194	11680	227923
195	11706	227191
196	11887	229489
197	12070	231776
198	12110	231309
199	12124	230374
200	12166	229943
201	12177	228968
202	12188	227986
203	12256	228069
204	12271	227165
205	12296	226476
206	12321	225781
207	12335	224889
208	12345	223936
209	12356	223010
210	12366	222077
211	12391	221411
212	12402	220508
213	12410	219568
214	12429	218809
215	12611	220929
216	12678	221029
217	12688	220135
218	12706	219384
219	12831	220460
220	12849	219714
221	12860	218858
222	12884	218235
223	12952	218344
224	13020	218460
225	13047	217882
226	13229	219896
227	13413	221908
228	13537	222920
229	13549	222097
230	13618	222192
231	13643	221595
232	13657	220808
233	13840	222744
234	13964	223737
235	14033	223819
236	14045	223008
237	14054	222162
238	14237	224049
239	14252	223292
240	14270	222586
241	14309	222214
242	14328	221526
243	14352	220941
244	14392	220589
245	14432	220241
246	14457	219674
247	14471	218943
248	14481	218150
249	14498	217482
250	14510	216732
251	14520	215957
252	14538	215313
253	14660	216206
254	14670	215449
255	14683	214751
256	14752	214860
257	14764	214144
258	14946	215887
259	14972	215373
260	14998	214870
261	15180	216582
262	15206	216071
263	15225	215470
264	15244	214854
265	15364	215682
266	15374	214955
267	15414	214649
268	15428	213995
269	15610	215652
270	15791	217289
271	15972	218916
272	16013	218610
273	16052	218291
274	16064	217599
275	16089	217086
276	16115	216596
277	16182	216656
278	16208	216176
279	16330	216962
280	16370	216664
281	16385	216029
282	16425	215730
283	16434	215032
284	16447	214401
285	16458	213724
286	16525	213793
287	16647	214570
288	16687	214279
289	16754	214342
290	16773	213784
291	16839	213840
292	16906	213898
293	16972	213949
294	17039	214003
295	17048	213336
296	17169	214071
297	17182	213450
298	17220	213159
299	17233	212542
300	17300	212605
301	17318	212063
302	17344	211619
303	17466	212358
304	17507	212095
305	17525	211565
306	17707	213006
307	17747	212742
308	17931	214190
309	17971	213920
310	18013	213666
311	18023	213050
312	18034	212440
313	18048	211865
314	18065	211337
315	18105	211073
316	18116	210481
317	18125	209868
318	18306	211242
319	18318	210657
320	18331	210100
321	18348	209588
322	18362	209037
323	18374	208466
324	18383	207875
325	18450	207936
326	18572	208608
327	18694	209288
328	18703	208691
329	18713	208114
330	18724	207557
331	18738	207027
332	18859	207686
333	18898	207435
334	19021	208099
335	19032	207548
336	19099	207603
337	19117	207129
338	19129	206591
339	19141	206051
340	19323	207346
341	19390	207402
342	19513	208048
343	19695	209325
344	19708	208799
345	19891	210070
346	19917	209678
347	19932	209175
348	19949	208702
349	20132	209948
350	20146	209442
351	20163	208971
352	20177	208466
353	20359	209692
354	20386	209319
355	20568	210533
356	20750	211750
357	20760	211200
358	20770	210658
359	20891	211239
360	21075	212443
361	21143	212483
362	21266	213070
