region,regulated_dam,hazard,total_rating_factor,count
Flumevale,No,High,0.48552037746776455,103
Flumevale,No,Low,0.06720682553310006,63
Flumevale,No,Significant,0.2668698217770672,24
Flumevale,Yes,High,6.539924002726224,1017
Flumevale,Yes,Low,0.9052710284649926,1463
Flumevale,Yes,Significant,3.5947169965260386,404
Lyndrassia,No,High,13.615078544858182,962
Lyndrassia,No,Low,1.8846298751785953,3554
Lyndrassia,No,Significant,7.4836273684276255,103
Lyndrassia,Yes,High,9.274874803466007,559
Lyndrassia,Yes,Low,1.2838490858177647,2508
Lyndrassia,Yes,Significant,5.098002680577338,234
Navaldia,No,High,4.441650039817359,65
Navaldia,No,Low,0.6148232147576776,3002
Navaldia,No,Significant,2.4413853867562154,235
Navaldia,No,Undetermined,0.05879620063459346,12
Navaldia,Yes,High,7.754657235629104,2126
Navaldia,Yes,Low,1.07341714187582,2377
Navaldia,Yes,Significant,4.262403990555441,557
